file,review_label,action_route,timestamp,status,training_selected,source_original
sample_01.jpg,confirmed_ng,detection,2026-07-14T13:27:35,DETECTION_FAIL,1,Result/20260714/Cable1/A/DETECTION_FAIL/original/yolo/yolo_Cable1_A_132735.jpg
sample_02.jpg,confirmed_ng,detection,2026-07-14T13:30:48,DETECTION_FAIL,1,Result/20260714/Cable1/A/DETECTION_FAIL/original/yolo/yolo_Cable1_A_133048.jpg
sample_03.jpg,wrong_box,detection,2026-07-14T13:30:54,DETECTION_FAIL,1,Result/20260714/Cable1/A/DETECTION_FAIL/original/yolo/yolo_Cable1_A_133054.jpg
sample_04.jpg,wrong_class,detection,2026-07-14T13:30:59,DETECTION_FAIL,1,Result/20260714/Cable1/A/DETECTION_FAIL/original/yolo/yolo_Cable1_A_133059.jpg
sample_05.jpg,false_positive,detection,2026-07-14T13:31:03,DETECTION_FAIL,1,Result/20260714/Cable1/A/DETECTION_FAIL/original/yolo/yolo_Cable1_A_133103.jpg
sample_06.jpg,false_negative,detection,2026-07-14T13:31:27,DETECTION_FAIL,1,Result/20260714/Cable1/A/DETECTION_FAIL/original/yolo/yolo_Cable1_A_133127.jpg
sample_07.jpg,false_positive,detection,2026-07-14T13:21:53,PASS,1,Result/20260714/Cable1/A/PASS/original/yolo/yolo_Cable1_A_132153.jpg
sample_08.jpg,confirmed_ng,detection,2026-07-14T13:21:56,PASS,1,Result/20260714/Cable1/A/PASS/original/yolo/yolo_Cable1_A_132156.jpg
sample_09.jpg,color_false_reject,color,2026-07-14T13:22:01,PASS,1,Result/20260714/Cable1/A/PASS/original/yolo/yolo_Cable1_A_132201.jpg
sample_10.jpg,color_confirmed_ng,color,2026-07-14T13:22:23,PASS,1,Result/20260714/Cable1/A/PASS/original/yolo/yolo_Cable1_A_132223.jpg
